fname,fold,exist_labels
1.2.276.0.7230010.3.1.4.8323329.10001.1517875220.930580.png,0,0
1.2.276.0.7230010.3.1.4.8323329.1014.1517875165.916103.png,0,0
1.2.276.0.7230010.3.1.4.8323329.1017.1517875165.920291.png,0,1
1.2.276.0.7230010.3.1.4.8323329.10179.1517875222.489133.png,2,1
1.2.276.0.7230010.3.1.4.8323329.10318.1517875223.123532.png,0,1
1.2.276.0.7230010.3.1.4.8323329.1034.1517875166.8504.png,3,0
1.2.276.0.7230010.3.1.4.8323329.10441.1517875223.739805.png,3,0
1.2.276.0.7230010.3.1.4.8323329.1048.1517875166.56276.png,3,0
1.2.276.0.7230010.3.1.4.8323329.10544.1517875224.213810.png,2,0
1.2.276.0.7230010.3.1.4.8323329.10568.1517875224.312784.png,3,0
1.2.276.0.7230010.3.1.4.8323329.10578.1517875224.387222.png,4,0
1.2.276.0.7230010.3.1.4.8323329.10646.1517875224.719426.png,0,1
1.2.276.0.7230010.3.1.4.8323329.10649.1517875224.754724.png,2,0
1.2.276.0.7230010.3.1.4.8323329.10892.1517875226.143364.png,0,0
1.2.276.0.7230010.3.1.4.8323329.10907.1517875227.850816.png,3,1
1.2.276.0.7230010.3.1.4.8323329.10934.1517875228.144700.png,4,1
1.2.276.0.7230010.3.1.4.8323329.10946.1517875228.400920.png,2,0
1.2.276.0.7230010.3.1.4.8323329.10949.1517875228.413117.png,3,0
1.2.276.0.7230010.3.1.4.8323329.11118.1517875231.261716.png,1,0
1.2.276.0.7230010.3.1.4.8323329.11133.1517875231.332951.png,2,0
1.2.276.0.7230010.3.1.4.8323329.11298.1517875232.223009.png,0,0
1.2.276.0.7230010.3.1.4.8323329.11338.1517875232.452485.png,1,0
1.2.276.0.7230010.3.1.4.8323329.11375.1517875232.676429.png,3,0
1.2.276.0.7230010.3.1.4.8323329.11398.1517875232.769937.png,2,0
1.2.276.0.7230010.3.1.4.8323329.11399.1517875232.775791.png,3,0
1.2.276.0.7230010.3.1.4.8323329.1154.1517875166.500614.png,3,0
1.2.276.0.7230010.3.1.4.8323329.11550.1517875233.567414.png,4,0
1.2.276.0.7230010.3.1.4.8323329.11554.1517875233.580887.png,0,1
1.2.276.0.7230010.3.1.4.8323329.11632.1517875234.17040.png,1,0
1.2.276.0.7230010.3.1.4.8323329.11721.1517875234.471809.png,3,0
1.2.276.0.7230010.3.1.4.8323329.11768.1517875234.713828.png,2,0
1.2.276.0.7230010.3.1.4.8323329.1179.1517875166.661223.png,0,0
1.2.276.0.7230010.3.1.4.8323329.11803.1517875234.931932.png,2,0
1.2.276.0.7230010.3.1.4.8323329.11811.1517875235.149039.png,1,0
1.2.276.0.7230010.3.1.4.8323329.11924.1517875236.477550.png,0,1
1.2.276.0.7230010.3.1.4.8323329.11955.1517875236.609790.png,0,0
1.2.276.0.7230010.3.1.4.8323329.11957.1517875236.632279.png,2,1
1.2.276.0.7230010.3.1.4.8323329.12010.1517875236.883979.png,3,0
1.2.276.0.7230010.3.1.4.8323329.12110.1517875237.432879.png,2,0
1.2.276.0.7230010.3.1.4.8323329.12200.1517875237.936349.png,1,0
1.2.276.0.7230010.3.1.4.8323329.12305.1517875238.471535.png,1,0
1.2.276.0.7230010.3.1.4.8323329.12433.1517875239.99829.png,3,0
1.2.276.0.7230010.3.1.4.8323329.1260.1517875167.4831.png,1,0
1.2.276.0.7230010.3.1.4.8323329.12672.1517875241.65878.png,0,0
1.2.276.0.7230010.3.1.4.8323329.12811.1517875241.982150.png,2,0
1.2.276.0.7230010.3.1.4.8323329.12834.1517875242.76055.png,2,0
1.2.276.0.7230010.3.1.4.8323329.12891.1517875242.394482.png,4,0
1.2.276.0.7230010.3.1.4.8323329.12967.1517875242.776728.png,2,0
1.2.276.0.7230010.3.1.4.8323329.12989.1517875242.904176.png,0,0
1.2.276.0.7230010.3.1.4.8323329.13126.1517875243.775075.png,4,0
1.2.276.0.7230010.3.1.4.8323329.13168.1517875243.969043.png,4,0
1.2.276.0.7230010.3.1.4.8323329.13186.1517875244.52215.png,3,0
1.2.276.0.7230010.3.1.4.8323329.13250.1517875244.350969.png,4,0
